,0
LRRK1,0
CCDC136,0
WFDC1,0
GNB5,0
OR2J1,7
COL4A5,0
NAP1L3,0
MMP19,0
ANKRD13A,1
GPR34,0
FLJ42393,0
SCUBE3,2
GPHN,0
GUCA1C,5
PLXNA3,0
DLEU2,1
AGPHD1,0
MAST2,0
PDE6B,0
HCN1,0
HMG20B,1
DEPDC1,0
SLC7A2,0
CHODL,0
CROT,0
SYT17,0
SAMD3,2
KIAA1147,0
PHGDH,0
PIGW,0
PRDX4,0
LOC100506581,0
KCNK2,0
CPD,0
MIRLET7G,1
STAB1,0
DRD2,0
CXCL16,0
ARHGAP23,0
GPR160,0
LCP1,0
LRAT,0
PPFIA3,0
CDON,0
SLC25A22,0
ODZ3,0
ACSS3,0
MID1IP1,0
OR9A2,0
ATP8A2,3
PIWIL2,5
ZNF483,0
PODXL,0
GNG2,1
SRRM4,0
STK33,0
STEAP4,0
SVIP,0
CDK14,0
LRRC61,5
FAP,0
CYB5D2,0
FANCF,3
FGGY,0
CBLN2,0
PTPN13,0
PTGS2,0
GALNT9,5
HSD17B6,0
SPTBN2,0
SNORA14A,0
PPFIA2,0
NEFM,0
HIVEP2,0
KIAA2022,0
RAB3C,0
CRYL1,0
ACTN1,0
LPHN1,0
COL21A1,0
MTUS1,2
PNP,0
INPP5J,0
C6orf94,0
AK1,0
LYZ,0
TCTN2,1
GPC2,0
PLAUR,0
GEN1,0
PDE2A,2
LOC440337,0
SIX1,0
CSMD3,0
MPV17L,7
C1QA,0
ENTPD7,1
CENPM,0
FBN3,1
CYP4X1,0
SHROOM2,0
MGAT5B,0
GLIPR1L2,14
GALNTL4,0
LHFPL5,4
FOXM1,0
SLC17A7,0
ZNF204P,0
CREB3L2,0
CHST9,0
KCNH7,0
SLC5A8,0
ONECUT1,0
LOC100129858,0
RNF175,0
GPR155,0
PIGZ,0
LOC150622,0
LRRC38,0
SQLE,0
RCOR2,0
SLC6A15,1
C13orf33,0
LRRFIP1,1
BTBD8,0
FNBP1,0
PLLP,0
HIP1,0
ABTB2,0
BAI2,0
CAT,0
NPY6R,0
FSIP2,4
MTHFD2L,0
ABCA6,0
ZBTB20,0
EEF1DP3,0
KIAA1199,4
ZNF716,0
SCPEP1,0
LRRC6,0
LRCH1,0
TAS2R4,0
MYOT,1
CNTN2,0
CHRNB3,0
C6orf141,9
PCDH18,0
PRG4,10
KCNN1,0
TMEM196,0
HLA-G,0
INPP1,0
CD209,0
FNDC5,0
MLC1,0
ZCCHC12,0
MIR196A2,0
SNORD53,0
GOLIM4,0
ECHDC3,1
PSD2,0
FEZ1,0
PLCL1,0
FAM135B,0
KIF18B,0
ARHGAP29,0
LAMB2,0
TOX,0
ANXA6,1
MIR153-2,0
C8orf73,4
SCML1,0
GPR112,2
SP140L,0
MT3,0
KPNA2,0
KCNC4,0
FANCD2,0
CBFA2T2,1
RNASEH2B,0
MYO7A,0
PRDM5,8
RBMS1,0
PKNOX2,0
SNORD50A,0
RIT2,2
GPR162,0
C17orf85,2
GPR116,0
GRPR,0
LPPR5,0
FOXP1,0
LRP5,2
SMO,0
AQP5,0
FOSL2,0
ADARB1,0
MAGEE2,0
IGDCC4,3
SLC35F4,3
DEPTOR,0
GRM8,0
CYP26B1,1
ORC1,0
RPRM,2
PNPO,0
LY96,2
ARHGAP11A,0
PTPRB,3
ABAT,1
PTPRM,0
SEMA6D,3
MASTL,0
FOXQ1,3
EDN3,0
UBE2L6,0
EZR,0
ANGPT2,0
ANKRD53,0
ARHGEF6,0
TOP1MT,0
ADAM23,1
MUC20,2
ZDBF2,0
PLA2G4A,0
HSD17B14,1
ABLIM3,0
ASPA,0
DBX1,0
SNORA37,0
ZNF677,0
NKIRAS1,0
C3orf59,1
KCNA1,0
BGN,0
OR2J2,0
POLR3G,8
HSPA4L,0
CCDC147,0
ZFP2,0
SEC24D,1
VPS13A,2
SELENBP1,0
PNPLA4,2
THG1L,0
ATN1,0
RAD54L,0
LPP,0
FOXG1,0
EXOG,5
FLJ42418,0
TMEM204,3
IFFO2,0
STX7,2
NFKB2,0
NOL4,0
ARPP21,0
GABRE,0
RCVRN,0
MIR125B1,0
C11orf75,2
C9orf4,0
S100A10,2
SLC5A3,0
KIAA1239,0
SNORA75,1
PTPRG,0
TCF4,0
EML4,0
TMEM55A,0
TGIF2,0
TMEM91,0
PLSCR4,0
CPNE6,0
UCHL1,0
CPLX4,0
TMEM195,0
STMN2,1
ZIC4,0
MYO1C,4
ST6GALNAC2,0
SNORA2A,2
ACCN2,0
LYN,6
C1QBP,5
ATAD2,0
RNU5E,2
CDH8,0
GFPT2,0
HSD17B13,0
DOK4,0
TCEA3,0
TTYH2,3
HELLS,0
LRRC17,0
C8orf48,2
ARHGAP19,0
HSP90AA6P,0
DUSP1,3
PCBP4,0
CLEC4F,0
PLEKHG4B,0
OR2K2,0
TMEM132D,2
HAS2,0
LOC645188,0
SAMD5,0
OR13C3,1
HIST1H4D,0
GNB4,0
IQUB,0
SOX9,0
TNFAIP8L1,0
OSTN,0
FGF1,0
NKX2-2,0
SGIP1,0
DMD,2
ITGB5,0
RGAG4,0
ABCC1,1
RGS16,0
CEBPB,0
GRK4,0
TAS2R8,6
ZNF43,0
ALPK3,0
CKS1B,0
FAM171B,1
SCARNA10,0
LOC648987,0
GPNMB,0
DKFZP779L1853,0
FLT4,0
OAS3,0
C6orf191,0
FAM84B,0
CHRNA3,1
NT5DC1,0
LRRN1,0
CCNB2,0
CHRNA7,2
SEPT12,12
KREMEN1,1
DOCK9,0
PYCR1,1
RSRC1,3
C9orf172,0
ATP8B4,0
MCTP1,0
NMNAT3,1
CCT6B,6
CDKN2C,0
COL11A1,0
EXOC3L,0
RGS6,3
FBXL21,0
ITPR1,0
KANK2,0
OLFM1,2
FAM200A,0
TIAM1,0
HECW1,0
UIMC1,2
MYRIP,0
