,0
HELLS,0
LRRC17,0
C8orf48,1
ARHGAP19,0
HSP90AA6P,0
DUSP1,1
PCBP4,0
CLEC4F,0
PLEKHG4B,0
OR2K2,0
TMEM132D,1
HAS2,0
LOC645188,0
SAMD5,0
OR13C3,1
HIST1H4D,0
GNB4,0
IQUB,0
SOX9,0
TNFAIP8L1,0
OSTN,0
FGF1,0
NKX2-2,0
SGIP1,0
DMD,1
ITGB5,0
RGAG4,0
ABCC1,1
RGS16,0
CEBPB,0
GRK4,0
TAS2R8,1
ZNF43,0
ALPK3,0
CKS1B,0
FAM171B,1
SCARNA10,0
LOC648987,0
GPNMB,0
DKFZP779L1853,0
FLT4,0
OAS3,0
C6orf191,0
FAM84B,0
CHRNA3,1
NT5DC1,0
LRRN1,0
CCNB2,0
CHRNA7,1
SEPT12,1
KREMEN1,1
DOCK9,0
PYCR1,1
RSRC1,1
C9orf172,0
ATP8B4,0
MCTP1,0
NMNAT3,1
CCT6B,1
CDKN2C,0
COL11A1,0
EXOC3L,0
RGS6,1
FBXL21,0
ITPR1,0
KANK2,0
OLFM1,1
FAM200A,0
TIAM1,0
HECW1,0
UIMC1,1
MYRIP,0
PTCH2,0
GSTM5,1
MCM5,0
GYPA,1
HIST1H2AH,0
NCOR2,0
ZNF367,0
MAL2,1
C7orf46,0
C9orf103,0
HSPB8,0
NEO1,0
ZNF215,0
ERI1,1
HMGCLL1,0
SLC16A4,1
SPAG6,0
ODZ2,0
FLNA,0
MKRN3,0
ITGB3,0
FREM3,1
TEAD3,0
GLT1D1,0
NEUROD4,2
APOLD1,0
ENTPD3,1
OSBPL6,0
PCDHB11,0
MIR138-2,0
PACSIN1,0
SLC26A11,0
IL18,1
ADAM28,0
KLK6,1
MT1X,0
SEPP1,0
LOC642947,0
VASH2,0
NUDT7,1
RAD51,0
MID1,0
ITGA2B,0
PTDSS1,0
CYBB,0
REEP1,0
RAMP2,1
INSC,1
VTRNA1-1,0
CRYAB,0
MICAL2,1
LAMA5,0
BLM,0
RALB,0
SH3RF3,1
C4orf6,0
TBC1D4,1
AURKA,0
ZFY,1
MS4A6A,0
AQP1,0
SPHK1,0
RHBDL3,1
PRPS2,0
SLITRK3,0
AIF1L,0
PRRT1,0
KCNQ4,0
ZNF83,2
BIRC5,0
RBMS2,0
CDH23,0
CNTNAP4,0
EFCAB5,0
SH3RF1,2
KAL1,0
PBX4,0
LHFP,1
PROX1,0
MIR181A2,0
ANO4,1
MED12L,0
AKAP6,0
SNORD61,0
ETS1,1
TRIM46,1
EIF3H,0
CCNJL,0
JAKMIP1,0
CCL2,0
LONRF2,0
CLVS2,0
EGLN3,0
MEPE,0
HELB,0
EDA2R,0
CLCN4,0
FBLN1,1
LOC389834,1
CACNA1A,1
NUDT9P1,0
LHX5,0
RSPH4A,0
MPDZ,0
TMEM229B,0
KLHL2,1
B3GNT5,0
C20orf26,1
C5AR1,1
PLCB3,0
HMGB2,0
WLS,0
C20orf203,1
PLK4,0
C20orf96,2
ULK2,1
KLHL35,0
C6orf138,0
FAM59A,1
POPDC3,2
TESK2,0
CRISPLD1,1
CRIP3,0
CHRDL1,1
SERPINF1,0
RAB15,0
DLX1,0
C9orf64,2
FGFR1,1
NKAIN4,0
PPFIBP2,0
FST,0
HIST1H4B,0
DUSP26,0
CYP1B1,0
C17orf104,1
SCNN1B,1
ZFP36L2,0
HN1,0
C2orf66,0
ABCA1,1
UNCX,0
TXLNB,1
C4orf46,0
SLC7A8,0
NDST3,0
C18orf54,0
SPRY2,2
CXCR4,0
STXBP5L,1
RAB26,0
ZFHX4,0
TRPV4,1
GXYLT2,1
LHX4,0
C4orf33,0
PRELP,0
C13orf30,1
ZNF423,0
FAM83D,0
COL11A2,2
FOXD1,1
ETV6,0
CACNG4,0
GABRB2,1
MBNL3,1
HIST1H2BL,0
SP110,0
EML6,1
TMEM88,0
HIST1H4H,1
SYPL1,0
LAP3,0
MYCL1,0
BCKDHA,1
NDP,0
XCL1,0
PUS7,1
KCNK1,0
GLIPR2,0
IL17RD,0
PLCH2,0
PIP4K2A,0
SGOL1,0
OR1Q1,0
TGFBR3,0
C12orf75,0
LRRC7,0
FAM5C,1
ABCC3,0
CHDH,0
KIF1A,0
COLEC12,0
KIAA1244,0
NTRK3,1
S100A8,1
ZNF300P1,0
MYT1L,0
TXNDC6,0
REEP2,0
ALDH5A1,0
PRKG1,1
BTG3,0
NCAM1,0
C5orf4,0
FAM46A,0
SLC22A5,0
TSHZ1,1
PVR,1
SATB2,0
TBL1X,1
CXorf59,0
FAM134B,0
SERPING1,0
RAB3A,0
PLBD1,0
TAF4B,1
TMBIM1,0
RHOBTB3,0
GSG1,0
CPS1,1
SCARNA5,1
WDR76,1
GMPPA,0
IRX6,1
EMID1,0
IGFBP4,1
LIN7A,1
ZNF252,0
SEMA3A,0
FMO2,0
DIAPH2,0
RAP1GAP,0
RNASE1,0
RASAL2,0
TMEM90B,0
PLAC8L1,1
IRAK3,0
ATP2B2,0
CDC7,0
CCDC80,2
SLC13A4,0
SHCBP1,0
EFHA2,0
VWC2L,0
NEUROD1,0
ARHGAP24,1
FHL2,0
SIK1,1
SLC14A1,0
LOC374491,1
TRAPPC1,2
SPHKAP,0
ADI1,0
TK1,0
KCNH6,0
MIR99A,1
PRKCA,0
DCLK3,0
COL4A2,0
RASEF,0
ZDHHC8P1,1
SLN,1
CYR61,1
SNAI2,1
LOC652493,1
CASQ2,0
ADCY5,1
PAX7,2
LAMC1,0
EPHB6,0
PPP1R3C,0
OLFM3,1
SMAD9,0
APBB2,0
DPYSL5,0
FRMPD4,2
CYP27A1,0
LOC100133106,0
LAMC3,0
RHOU,0
PEX5L,0
OLR1,0
FAM71F2,0
FANCB,0
TMEM205,1
TSPAN9,2
IL7R,1
SLC1A7,0
SCGN,1
ADAM22,0
DEXI,0
CSF1R,0
SBK1,0
SCARNA17,1
OR2AJ1,0
INSM1,0
THBD,1
OSBP2,0
PTHLH,0
STRADB,0
SELPLG,2
ULK4,1
GAS2,0
SLC6A6,0
MPPED1,0
TCF7L1,0
LRRC32,0
CPM,1
HDAC1,0
ANGPTL4,0
LOC401286,0
ABR,0
CNNM1,0
EXO1,0
GPR109B,0
ADCY1,0
PDE7B,0
GSG2,0
TBC1D12,1
NTM,1
DARC,0
PPL,1
EBF3,0
IFLTD1,1
SLC24A3,0
GJA1,0
IGFBPL1,0
LOC440993,1
C7orf54,0
NRG4,0
NTNG1,1
KCNB1,1
HDHD3,0
RPGRIP1,0
C1S,0
EFNB3,0
TBC1D30,0
IMPDH1,0
SEMA3C,0
KDR,0
ARSG,0
KLF6,0
BAMBI,0
OR2AE1,1
FBN1,0
ATOH7,0
KATNAL2,1
ANXA5,0
HSPH1,1
LDHA,0
MEG3,0
MYL9,0
HOOK1,0
IGSF5,1
GNAI1,0
PLCD4,2
PRR11,0
EMP2,0
BLCAP,0
MYOCD,0
KSR1,0
DDX25,0
SNORA28,1
ESYT2,0
RAB3B,1
FLJ38109,0
HOXB3,0
HIST1H2BH,0
NCAM2,0
DSCAM,0
C9orf131,0
FBXO32,0
ST5,0
SHROOM3,1
DUSP5,0
IPCEF1,0
SNORA42,1
KCNK10,1
CENPF,0
RGS7BP,0
MTNR1A,0
RAB9B,0
TNFRSF17,1
NRSN1,0
AFMID,0
JAZF1,0
C1orf228,0
DNA2,0
PLA2G16,0
OLIG2,0
PODN,1
SLC2A12,0
C6orf155,1
OR2L3,1
RADIL,0
PTPRK,0
MGST2,1
NFATC2,0
SLC41A2,0
TCEAL2,0
SYBU,0
NR5A2,0
MGC45800,0
NR2F1,0
SLC7A5,2
OR10C1,0
MRAP2,0
SLC35D2,1
TP53INP2,0
CAPS2,1
PLA2G5,0
GUCY2D,0
NAP1L2,0
DNER,0
CKS2,0
FDFT1,0
XKR6,0
PLSCR1,2
CLIC1,0
CSPG4P5,0
ACP6,0
PRMT8,0
DNM1,0
LOC162632,1
KLHL3,1
DDAH1,1
PAPSS1,0
SLC29A1,0
F13A1,0
SLC35F3,0
TPRG1,1
CGNL1,0
CSMD2,0
PPP2R3A,0
FSTL4,0
FAM163A,2
ZNF781,1
SLC43A1,0
CRTAC1,0
ID4,0
BHLHE41,0
ZNF273,0
MAFF,0
ADAMTS3,0
GCNT4,0
TYRO3,0
CDC42EP3,1
COBL,1
ACVR1,0
RHOBTB1,0
NUDT16,1
SLC7A1,2
FAM133A,0
NIPSNAP3B,0
STEAP2,1
DCN,0
LPAL2,1
PDE6G,0
SKAP2,0
LIN28B,0
CLIP2,0
FLVCR2,1
ADAMTS9,1
DLG5,0
NALCN,0
SCRN1,1
EFNA3,0
FAM65A,0
PCDHB4,1
NPY2R,2
FMOD,0
CDH24,0
DPF3,0
BTN3A3,0
LY6G5C,1
TTLL9,0
ITGA8,0
AGA,0
COL4A3,0
CLPTM1L,0
ICAM1,1
NAPB,2
CADM3,0
TTF2,0
LGALS3BP,0
C6orf150,1
GLRA4,1
SLC38A2,0
KCNIP2,0
MT1E,0
GRID1,0
ZNF618,0
OR5P3,1
FBLN2,0
ODZ4,0
KIAA1462,1
NRXN3,1
DCBLD1,0
C8orf59,0
UACA,0
SERP2,0
APP,0
TPPP3,0
EMB,0
CDCA7L,0
ARFGEF1,0
SAMD12,1
PHF15,0
RFX4,1
NEK6,0
ZNF404,0
PPP4R4,0
SPOCK1,0
DSCR4,2
ZFHX3,0
GABRA3,0
GPR143,0
SYN3,0
ZNF586,2
ME3,0
AXL,0
C16orf89,0
ABCB1,1
FNDC1,1
SMARCD3,0
IRF8,0
LOC100128364,0
PCGF5,0
CSRNP3,0
ADAMTS4,0
